,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
1,nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack,archive_footage","tt0037382,tt0075213,tt0117057,tt0038355"
7,nm0000008,Marlon Brando,1924,2004,"actor,director,writer","tt0078788,tt0068646,tt0047296,tt0070849"
24,nm0000025,Jerry Goldsmith,1929,2004,"music_department,composer,miscellaneous","tt0119488,tt0077269,tt0117731,tt0112715"
31,nm0000032,Charlton Heston,1923,2008,"actor,director,writer","tt0052618,tt0049833,tt0067525,tt0063442"
34,nm0000035,James Horner,1953,2015,"music_department,composer,actor","tt0120338,tt0499549,tt0177971,tt0120746"
39,nm0000040,Stanley Kubrick,1928,1999,"director,writer,producer","tt0062622,tt0072684,tt0066921,tt0093058"
52,nm0000053,Robert Mitchum,1917,1997,"actor,producer,writer","tt0039689,tt0048424,tt0056197,tt0050356"
55,nm0000056,Paul Newman,1925,2008,"actor,producer,director","tt0054997,tt0257044,tt0084855,tt0110684"
83,nm0000084,Gong Li,1965,\N,"actress,producer,miscellaneous","tt0473444,tt0397535,tt0101640,tt4566758"
89,nm0000090,Armin Mueller-Stahl,1930,\N,"actor,director,writer","tt0765443,tt0117631,tt0963178,tt0139809"
92,nm0000093,Brad Pitt,1963,\N,"producer,actor,executive","tt0137523,tt0356910,tt0114746,tt1210166"
94,nm0000095,Woody Allen,1935,\N,"writer,director,actor","tt0075686,tt0079522,tt0118954,tt0091167"
95,nm0000096,Gillian Anderson,1968,\N,"actress,producer,director","tt0106179,tt2294189,tt0455590,tt0442632"
96,nm0000097,Pamela Anderson,1967,\N,"actress,producer,director","tt0115624,tt0306047,tt0426592,tt0893509"
97,nm0000098,Jennifer Aniston,1969,\N,"actress,producer,director","tt0108778,tt3442006,tt1723121,tt0279113"
98,nm0000099,Patricia Arquette,1968,\N,"actress,producer,director","tt1065073,tt0108399,tt0412175,tt0145531"
99,nm0000100,Rowan Atkinson,1955,\N,"actor,writer,producer","tt0274166,tt1634122,tt0110357,tt0118689"
101,nm0000102,Kevin Bacon,1958,\N,"actor,producer,director","tt0087277,tt0164052,tt0361127,tt0327056"
102,nm0000103,Fairuza Balk,1974,\N,"actress,soundtrack,archive_footage","tt0115963,tt0181875,tt0089908,tt0120586"
103,nm0000104,Antonio Banderas,1960,\N,"actor,producer,writer","tt0120746,tt1189073,tt0120657,tt0112851"
105,nm0000106,Drew Barrymore,1975,\N,"producer,actress,director","tt0160127,tt0151738,tt0343660,tt0120631"
106,nm0000107,Kim Basinger,1953,\N,"actress,producer,soundtrack","tt0119488,tt0096895,tt0337921,tt0108525"
107,nm0000108,Luc Besson,1959,\N,"writer,producer,director","tt0119116,tt0110413,tt2872732,tt0100263"
109,nm0000110,Kenneth Branagh,1960,\N,"actor,producer,director","tt0097499,tt0116477,tt0107616,tt3402236"
110,nm0000111,Matthew Broderick,1962,\N,"actor,director,producer","tt0395251,tt0086567,tt0091042,tt0115798"
112,nm0000113,Sandra Bullock,1964,\N,"producer,actress,music_department","tt1041829,tt0212346,tt0111257,tt1454468"
113,nm0000114,Steve Buscemi,1957,\N,"actor,director,producer","tt0116282,tt0162346,tt0105236,tt4686844"
114,nm0000115,Nicolas Cage,1964,\N,"actor,producer,director","tt0119094,tt0113627,tt0117500,tt0435705"
115,nm0000116,James Cameron,1954,\N,"writer,producer,director","tt1630029,tt0499549,tt0090605,tt0103064"
116,nm0000117,Neve Campbell,1973,\N,"actress,producer,writer","tt0117571,tt0120082,tt0134084,tt0120890"
119,nm0000120,Jim Carrey,1962,\N,"actor,writer,producer","tt0109040,tt0338013,tt0110475,tt0315327"
122,nm0000123,George Clooney,1961,\N,"actor,producer,director","tt1124035,tt0465538,tt1193138,tt2177771"
123,nm0000124,Jennifer Connelly,1970,\N,"actress,producer,archive_footage","tt0268978,tt0315983,tt0286716,tt0180093"
124,nm0000125,Sean Connery,1930,2020,"actor,producer,director","tt0117500,tt0055928,tt0094226,tt0091605"
125,nm0000126,Kevin Costner,1955,\N,"actor,producer,director","tt0119925,tt0099348,tt0102798,tt0103855"
126,nm0000127,Wes Craven,1939,2015,"writer,producer,director","tt0087800,tt0117571,tt0111686,tt0105121"
127,nm0000128,Russell Crowe,1964,\N,"actor,producer,director","tt1707386,tt0172495,tt0268978,tt0119488"
128,nm0000129,Tom Cruise,1962,\N,"actor,producer,director","tt0092099,tt0325710,tt0116695,tt0181689"
129,nm0000130,Jamie Lee Curtis,1958,\N,"actress,producer,director","tt1502407,tt6710474,tt0111503,tt0120694"
130,nm0000131,John Cusack,1966,\N,"actor,producer,writer","tt0119229,tt0146882,tt0098258,tt0450385"
131,nm0000132,Claire Danes,1979,\N,"actress,producer,soundtrack","tt0108872,tt1796960,tt0117509,tt0274558"
132,nm0000133,Geena Davis,1956,\N,"actress,producer,writer","tt0103074,tt0116908,tt0104694,tt0091064"
133,nm0000134,Robert De Niro,1943,\N,"actor,producer,director","tt0101540,tt0081398,tt0077416,tt0075314"
135,nm0000136,Johnny Depp,1963,\N,"actor,producer,director","tt0408236,tt0325980,tt0449088,tt0367594"
137,nm0000138,Leonardo DiCaprio,1974,\N,"producer,actor,writer","tt1375666,tt0120338,tt0407887,tt0993846"
138,nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0259711,tt0129387,tt0160127,tt0119738"
139,nm0000140,Michael Douglas,1944,\N,"actor,producer,director","tt0094291,tt1291580,tt0093010,tt0088011"
141,nm0000142,Clint Eastwood,1930,\N,"actor,producer,director","tt0405159,tt1205489,tt0105695,tt0112579"
143,nm0000144,Cary Elwes,1962,\N,"actor,producer,director","tt0387564,tt0093779,tt0107977,tt0119468"
145,nm0000146,Ralph Fiennes,1962,\N,"actor,director,producer","tt0387131,tt2278388,tt0108052,tt1372686"
146,nm0000147,Colin Firth,1960,\N,"actor,producer,writer","tt1315981,tt1504320,tt0243155,tt2802144"
147,nm0000148,Harrison Ford,1942,\N,"actor,writer,producer","tt0082971,tt0106977,tt0076759,tt0090329"
148,nm0000149,Jodie Foster,1962,\N,"actress,producer,director","tt0102926,tt0476964,tt0075314,tt0094608"
149,nm0000150,Michael J. Fox,1961,\N,"actor,producer,miscellaneous","tt0088763,tt0096874,tt0115369,tt0116365"
150,nm0000151,Morgan Freeman,1937,\N,"actor,producer,director","tt0097239,tt0114369,tt0405159,tt0468569"
151,nm0000152,Richard Gere,1949,\N,"actor,producer,music_department","tt0299658,tt0100405,tt0084434,tt0119395"
153,nm0000154,Mel Gibson,1956,\N,"actor,producer,director","tt0112573,tt0104714,tt0118883,tt0117438"
154,nm0000155,Whoopi Goldberg,1955,\N,"actress,producer,writer","tt0099653,tt0105417,tt0088939,tt0108147"
155,nm0000156,Jeff Goldblum,1952,\N,"actor,producer,writer","tt0107290,tt0091064,tt2278388,tt0116629"
156,nm0000157,Linda Hamilton,1956,\N,"actress,soundtrack,archive_footage","tt0103064,tt6450804,tt0088247,tt0118928"
157,nm0000158,Tom Hanks,1956,\N,"producer,actor,writer","tt0162222,tt0094737,tt0109830,tt1535109"
158,nm0000159,Teri Hatcher,1964,\N,"actress,writer,director","tt0120347,tt0410975,tt0327597,tt0227538"
159,nm0000160,Ethan Hawke,1970,\N,"actor,producer,writer","tt0139654,tt0112471,tt2209418,tt0381681"
160,nm0000161,Salma Hayek,1966,\N,"actress,producer,director","tt0120679,tt0112851,tt1615065,tt0120891"
161,nm0000162,Anne Heche,1969,2022,"actress,producer,writer","tt0120828,tt0119008,tt0120885,tt0120461"
162,nm0000163,Dustin Hoffman,1937,\N,"actor,producer,director","tt0084805,tt0095953,tt0079417,tt0064665"
163,nm0000164,Anthony Hopkins,1937,\N,"actor,composer,producer","tt0102926,tt0113987,tt0975645,tt0412080"
164,nm0000165,Ron Howard,1954,\N,"producer,actor,writer","tt0367279,tt0268978,tt0075213,tt0112384"
165,nm0000166,Helen Hunt,1963,\N,"actress,producer,director","tt0119822,tt0117998,tt0103484,tt0455805"
167,nm0000168,Samuel L. Jackson,1948,\N,"actor,producer,miscellaneous","tt0110912,tt3460252,tt0417148,tt2802144"
168,nm0000169,Tommy Lee Jones,1946,\N,"actor,director,writer","tt0106977,tt0477348,tt2398231,tt0443272"
169,nm0000170,Milla Jovovich,1975,\N,"actress,producer,director","tt0119116,tt1220634,tt0120804,tt1220198"
170,nm0000171,Ashley Judd,1968,\N,"actress,producer,director","tt0150377,tt0470705,tt0119468,tt0113277"
171,nm0000172,Harvey Keitel,1939,\N,"actor,producer,soundtrack","tt0105236,tt0103759,tt2278388,tt0110912"
172,nm0000173,Nicole Kidman,1967,\N,"actress,producer,music_department","tt0203009,tt0274558,tt0159365,tt0935075"
173,nm0000174,Val Kilmer,1959,\N,"actor,producer,director","tt0101761,tt0120053,tt0373469,tt0235737"
174,nm0000175,Stephen King,1947,\N,"writer,producer,actor","tt0091499,tt0083767,tt0111161,tt0324864"
177,nm0000178,Diane Lane,1965,\N,"actress,soundtrack,archive_footage","tt0250797,tt0328589,tt0086066,tt2096673"
178,nm0000179,Jude Law,1972,\N,"actor,producer,director","tt0134119,tt0376541,tt2278388,tt0346156"
183,nm0000184,George Lucas,1944,\N,"writer,producer,director","tt0076759,tt0066434,tt0069704,tt0082971"
185,nm0000186,David Lynch,1946,\N,"writer,director,producer","tt0098936,tt0460829,tt0105665,tt0166924"
189,nm0000190,Matthew McConaughey,1969,\N,"actor,producer,director","tt0816692,tt0790636,tt1935179,tt1915581"
190,nm0000191,Ewan McGregor,1971,\N,"actor,producer,writer","tt0203009,tt0117951,tt1322269,tt2763304"
192,nm0000193,Demi Moore,1962,\N,"actress,producer,director","tt0119173,tt0305357,tt0099653,tt0107211"
193,nm0000194,Julianne Moore,1960,\N,"actress,producer,soundtrack","tt0297884,tt0118749,tt3316960,tt2172584"
194,nm0000195,Bill Murray,1950,\N,"actor,writer,producer","tt0335266,tt0128445,tt1748122,tt0362270"
195,nm0000196,Mike Myers,1963,\N,"actor,writer,producer","tt0295178,tt0145660,tt0118655,tt0811138"
196,nm0000197,Jack Nicholson,1937,\N,"actor,producer,writer","tt0071315,tt0119822,tt0407887,tt0073486"
197,nm0000198,Gary Oldman,1958,\N,"actor,producer,director","tt1340800,tt0468569,tt4555426,tt0103874"
198,nm0000199,Al Pacino,1940,\N,"actor,director,producer","tt0070666,tt0072890,tt0068646,tt0099422"
199,nm0000200,Bill Paxton,1955,2017,"actor,producer,writer","tt0090605,tt0264616,tt0112384,tt0117998"
200,nm0000201,Michelle Pfeiffer,1958,\N,"actress,producer,soundtrack","tt0097322,tt0161081,tt0117247,tt0427327"
203,nm0000204,Natalie Portman,1981,\N,"actress,producer,director","tt0947798,tt0434409,tt0376541,tt0110413"
205,nm0000206,Keanu Reeves,1964,\N,"actor,producer,miscellaneous","tt0133093,tt0111257,tt0102685,tt0234215"
208,nm0000209,Tim Robbins,1958,\N,"actor,producer,director","tt0327056,tt0105151,tt0091225,tt0111161"
209,nm0000210,Julia Roberts,1967,\N,"actress,producer,soundtrack","tt0100405,tt0195685,tt0119738,tt0376541"
212,nm0000213,Winona Ryder,1971,\N,"actress,producer,director","tt0110367,tt0100140,tt0118583,tt0172493"
214,nm0000215,Susan Sarandon,1946,\N,"actress,producer,miscellaneous","tt0103074,tt0112818,tt0120686,tt0109446"
215,nm0000216,Arnold Schwarzenegger,1947,\N,"actor,producer,writer","tt0103064,tt0216216,tt0088247,tt0107362"
216,nm0000217,Martin Scorsese,1942,\N,"producer,director,actor","tt5537002,tt0075314,tt0070379,tt0099685"
222,nm0000223,Elisabeth Shue,1963,\N,"actress,producer,soundtrack","tt0113627,tt0092513,tt0120053,tt0164052"
224,nm0000225,Christian Slater,1969,\N,"actor,producer,director","tt0124198,tt0108399,tt0102798,tt0115759"
225,nm0000226,Will Smith,1968,\N,"producer,actor,writer","tt0098800,tt0119654,tt0480249,tt0116629"
226,nm0000227,Mira Sorvino,1967,\N,"actress,producer,soundtrack","tt0113819,tt0120008,tt0364343,tt0120032"
227,nm0000228,Kevin Spacey,1959,\N,"actor,producer,writer","tt0114814,tt0119488,tt0169547,tt0114369"
