,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
96861,tt0099077,movie,Awakenings,Awakenings,0,1990.0,\N,121,"Biography,Drama"
96872,tt0099088,movie,Back to the Future Part III,Back to the Future Part III,0,1990.0,\N,118,"Adventure,Comedy,Sci-Fi"
97126,tt0099348,movie,Dances with Wolves,Dances with Wolves,0,1990.0,\N,181,"Adventure,Drama,Western"
97264,tt0099487,movie,Edward Scissorhands,Edward Scissorhands,0,1990.0,\N,105,"Drama,Fantasy,Romance"
97444,tt0099674,movie,The Godfather Part III,The Godfather Part III,0,1990.0,\N,162,"Crime,Drama"
97454,tt0099685,movie,Goodfellas,Goodfellas,0,1990.0,\N,145,"Biography,Crime,Drama"
97552,tt0099785,movie,Home Alone,Home Alone,0,1990.0,\N,103,"Comedy,Family"
97575,tt0099810,movie,The Hunt for Red October,The Hunt for Red October,0,1990.0,\N,135,"Action,Adventure,Thriller"
97905,tt0100150,movie,Miller's Crossing,Miller's Crossing,0,1990.0,\N,115,"Crime,Drama,Thriller"
97912,tt0100157,movie,Misery,Misery,0,1990.0,\N,107,"Drama,Thriller"
97988,tt0100234,movie,Close-Up,Nema-ye Nazdik,0,1990.0,\N,98,"Biography,Crime,Drama"
98074,tt0100332,movie,Paris Is Burning,Paris Is Burning,0,1990.0,\N,78,Documentary
98534,tt0100802,movie,Total Recall,Total Recall,0,1990.0,\N,113,"Action,Adventure,Sci-Fi"
99128,tt0101410,movie,Barton Fink,Barton Fink,0,1991.0,\N,116,"Comedy,Drama,Thriller"
99132,tt0101414,movie,Beauty and the Beast,Beauty and the Beast,0,1991.0,\N,84,"Animation,Family,Fantasy"
99225,tt0101507,movie,Boyz n the Hood,Boyz n the Hood,0,1991.0,\N,112,"Crime,Drama"
99355,tt0101640,movie,Raise the Red Lantern,Da hong denglong gaogao gua,0,1991.0,\N,125,"Drama,Romance"
99364,tt0101649,movie,Thalapathi,Thalapathi,0,1991.0,\N,157,"Action,Crime,Drama"
99415,tt0101700,movie,Delicatessen,Delicatessen,0,1991.0,\N,99,"Comedy,Crime"
99479,tt0101765,movie,The Double Life of Véronique,La double vie de Véronique,0,1991.0,\N,98,"Drama,Fantasy,Music"
