,tconst,ordering,nconst,category,job,characters
1402874,tt0099077,1,nm0000134,actor,\N,"[""Leonard Lowe""]"
1402875,tt0099077,2,nm0000245,actor,\N,"[""Dr. Malcolm Sayer""]"
1402876,tt0099077,3,nm0001413,actress,\N,"[""Eleanor Costello""]"
1402877,tt0099077,4,nm0625724,actress,\N,"[""Mrs. Lowe""]"
1402878,tt0099077,5,nm0001334,actor,\N,"[""Dr. Kaufman""]"
1402879,tt0099077,6,nm0000542,actress,\N,"[""Paula""]"
1402880,tt0099077,7,nm0238541,actress,\N,"[""Lucy""]"
1402881,tt0099077,8,nm0539652,actress,\N,"[""Rose""]"
1402882,tt0099077,9,nm0382263,actor,\N,"[""Bert""]"
1402883,tt0099077,10,nm0552327,actor,\N,"[""Frank""]"
1402884,tt0099077,11,nm0001508,director,director,\N
1402885,tt0099077,12,nm0755312,writer,book,\N
1402886,tt0099077,13,nm0001873,writer,screenplay,\N
1402887,tt0099077,14,nm0489623,producer,producer,\N
1402888,tt0099077,15,nm0662748,producer,producer,\N
1402889,tt0099077,16,nm0005271,composer,composer,\N
1402890,tt0099077,17,nm0005816,cinematographer,director of photography,\N
1402891,tt0099077,18,nm0204216,editor,editor,\N
1402892,tt0099077,19,nm0338513,editor,editor,\N
1402893,tt0099077,20,nm0863659,casting_director,casting_director,\N
1402894,tt0099077,21,nm0299107,production_designer,\N,\N
1403082,tt0099088,1,nm0000150,actor,\N,"[""Marty McFly""]"
1403083,tt0099088,2,nm0000150,actor,\N,"[""Seamus McFly""]"
1403084,tt0099088,3,nm0000502,actor,\N,"[""Dr. Emmett Brown""]"
1403085,tt0099088,4,nm0005460,actress,\N,"[""Clara Clayton""]"
1403086,tt0099088,5,nm0001855,actor,\N,"[""Buford 'Mad Dog' Tannen""]"
1403087,tt0099088,6,nm0001855,actor,\N,"[""Biff Tannen""]"
1403088,tt0099088,7,nm0000670,actress,\N,"[""Maggie McFly""]"
1403089,tt0099088,8,nm0000670,actress,\N,"[""Lorraine McFly""]"
1403090,tt0099088,9,nm0000223,actress,\N,"[""Jennifer""]"
1403091,tt0099088,10,nm0164273,actor,\N,"[""Bartender""]"
1403092,tt0099088,11,nm0246004,actor,\N,"[""Barbwire Salesman""]"
1403093,tt0099088,12,nm0125426,actor,\N,"[""Saloon Old Timer #3""]"
1403094,tt0099088,13,nm0001013,actor,\N,"[""Saloon Old Timer #2""]"
1403095,tt0099088,14,nm0000709,director,\N,\N
1403096,tt0099088,15,nm0000709,writer,characters,\N
1403097,tt0099088,16,nm0301826,writer,characters,\N
1403098,tt0099088,17,nm0134635,producer,producer,\N
1403099,tt0099088,18,nm0301826,producer,producer,\N
1403100,tt0099088,19,nm0006293,composer,composer,\N
1403101,tt0099088,20,nm0005678,cinematographer,director of photography,\N
1403102,tt0099088,21,nm0004637,editor,editor,\N
1403103,tt0099088,22,nm0772831,editor,editor,\N
