,tconst,averageRating,numVotes
73400,tt0099077,7.8,158795
73411,tt0099088,7.4,480968
73635,tt0099348,8.0,290737
73762,tt0099487,7.9,523918
73919,tt0099674,7.6,424171
73928,tt0099685,8.7,1257631
74013,tt0099785,7.7,652931
74033,tt0099810,7.5,214792
74305,tt0100150,7.7,142167
74311,tt0100157,7.8,235633
74380,tt0100234,8.2,23026
74455,tt0100332,8.2,17611
74854,tt0100802,7.5,354656
75367,tt0101410,7.6,128983
75370,tt0101414,8.0,479718
75455,tt0101507,7.8,154664
75571,tt0101640,8.1,35350
75580,tt0101649,8.5,13240
75631,tt0101700,7.5,90059
75685,tt0101765,7.7,52971
75782,tt0101889,7.5,90884
75807,tt0101921,7.7,83668
75886,tt0102015,8.1,23232
75989,tt0102138,8.0,169953
76322,tt0102536,7.7,66012
76657,tt0102926,8.6,1548551
76770,tt0103064,8.6,1174321
76779,tt0103074,7.6,173229
77252,tt0103639,8.0,466991
77355,tt0103767,8.5,40993
77450,tt0103873,7.5,103314
77772,tt0104257,7.7,287414
77847,tt0104348,7.7,116258
78027,tt0104561,8.1,24279
78102,tt0104652,7.7,102145
78130,tt0104684,7.7,54033
78137,tt0104691,7.7,187700
78222,tt0104797,7.7,102040
78341,tt0104940,7.8,70650
78352,tt0104952,7.6,140608
78580,tt0105236,8.3,1088441
78649,tt0105323,8.0,328954
78957,tt0105695,8.2,436253
79493,tt0106332,8.1,33161
79523,tt0106364,7.8,56865
79608,tt0106469,7.9,34033
79625,tt0106489,7.8,161175
79652,tt0106519,7.9,232427
79784,tt0106677,7.6,199623
79936,tt0106856,7.6,206711
80044,tt0106977,7.8,318749
80100,tt0107048,8.0,685225
80234,tt0107207,8.1,187147
80303,tt0107290,8.2,1067382
80595,tt0107653,7.7,43955
80624,tt0107688,7.9,375196
80626,tt0107692,7.8,40732
80721,tt0107808,7.5,86942
80730,tt0107818,7.7,258125
80734,tt0107822,7.5,95179
80833,tt0107943,7.8,84460
80909,tt0108037,7.8,102414
80923,tt0108052,9.0,1451103
81177,tt0108358,7.8,166349
81207,tt0108394,7.8,110521
81212,tt0108399,7.9,242546
81321,tt0108550,7.7,254129
81809,tt0109117,8.0,55272
82066,tt0109424,8.0,95813
82084,tt0109445,7.7,232385
82138,tt0109506,7.5,203209
82140,tt0109508,8.0,21594
82313,tt0109707,7.8,183991
82421,tt0109830,8.8,2257651
82605,tt0110057,8.3,28020
82625,tt0110081,8.3,20446
82673,tt0110148,7.5,347567
82813,tt0110322,7.5,183132
82840,tt0110357,8.5,1142602
82890,tt0110413,8.5,1246164
83143,tt0110729,7.9,36850
83271,tt0110877,7.8,39005
83303,tt0110912,8.9,2220772
83520,tt0111161,9.3,2889419
83787,tt0111495,8.1,110031
83796,tt0111507,7.6,79631
84479,tt0112384,7.7,315661
84550,tt0112471,8.1,339398
84634,tt0112573,8.3,1091545
84640,tt0112579,7.6,88930
84691,tt0112641,8.2,564063
84839,tt0112817,7.5,103101
84840,tt0112818,7.5,101794
84880,tt0112864,7.6,408228
84886,tt0112870,8.0,77229
84923,tt0112913,7.6,50885
